-1.891	50.3875	0.636	69
-3.363	65.4	0.689	3540
-3.781	72.5125	0.667	15100
-4.000	69.15	0.658	884
-4.000	65.3375	0.66	3416
-4.000	54.8	0.637	177.2
-2.050	47	0.628	720
-0.063	46.05	0.635	45
-0.344	66.525	0.662	1015
-1.531	73.55	0.663	19226
-2.000	68.7	0.657	1313
-1.844	67.3	0.646	15448
-2.625	59.3875	0.636	1287
-0.875	41.4125	0.633	332
-0.313	51.925	0.638	301
-1.688	56.75	0.659	945
-2.813	64.975	0.671	4147
-3.575	71.1	0.66	10303
-3.938	69.9625	0.646	29259
-3.938	63.8875	0.639	347
-2.388	53.125	0.649	274
0.000	43.6625	0.639	27
0.313	59.175	0.678	10
0.250	73.2625	0.684	499
-0.078	70.9625	0.647	9266
-0.313	61.5375	0.646	3780
-0.063	54.5875	0.638	170
1.094	41.9125	0.565	3019
-0.078	67.075	0.679	12601
-1.738	73.55	0.65	88759
-3.250	68.475	0.641	1302
-3.350	64.425	0.632	11716
-3.500	53.9125	0.622	200
-3.313	58.525	0.663	2301
-3.638	64.2	0.655	1446
-3.875	71.3875	0.646	55434
-3.969	70.0125	0.642	4855
-3.938	61.6875	0.643	65017
-1.609	47.425	0.584	285
-3.038	57.2625	0.637	1433
-3.703	64.25	0.659	959070
-3.969	70.9875	0.659	80047
-4.000	71.1	0.643	9705
-4.000	66.2625	0.63	4182
-2.375	48.9125	0.602	226
-3.063	62.6875	0.658	170
-3.719	71.6625	0.646	21866
-3.563	69.4375	0.644	41711
-3.563	67.5375	0.629	439
-1.613	52.8375	0.66	2925
-0.338	70.95	0.672	11133
-0.438	67.7875	0.66	2490
-0.406	64.5625	0.655	125
1.641	60.475	0.657	2030
1.125	68.2875	0.666	3569
0.000	69.1875	0.626	3310
0.000	67.7875	0.664	1597
-0.500	62.15	0.663	289
-1.594	69.525	0.656	144467
-2.688	72.175	0.631	479638
-2.813	67.6625	0.631	20207
-2.609	56.6875	0.641	427
-3.188	57.825	0.669	7482
-3.625	65.8875	0.656	226
-3.891	73.3	0.648	516
-4	68.875	0.639	51195
-3.719	63.025	0.648	85427
-2.375	53.4375	0.645	305
-4.000	74.075	0.634	173781
-4.000	70.1625	0.622	136484
-3.969	66.425	0.634	3147
-3.156	58.1875	0.657	879